実験時刻2022/05/21 10:36:54, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,く,,y,1217
2,と,,y,607
3,ぎ,,y,396
4,ど,,y,474
5,ぎ,,y,261
6,そ,,y,245
7,づ,,y,303
8,ず,,y,238
9,ぢ,,y,251
10,て,,y,247

実験時刻2022/05/21 10:38:24, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ざ,,y,275
2,ぢ,,y,303
3,げ,,y,264
4,き,,y,260
5,え,,y,253
6,ぎ,,y,275
7,が,,y,239
8,ぎ,,y,255
9,あ,,y,231
10,だ,,y,303

実験時刻2022/05/22 12:50:14, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,づ,,y,1370
2,ご,,y,278
3,ぃ,,y,247
4,い,,y,251
5,ど,,y,271
6,じ,,y,19
7,え,,y,279
8,ぞ,,y,226
9,き,,y,313
10,っ,,y,267

実験時刻2022/05/22 12:50:56, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ぐ,,y,304
2,て,,y,281
3,が,,y,8
4,ざ,,y,254
5,ち,,y,274
6,げ,,y,289
7,お,,y,288
8,き,,y,280
9,く,,y,272
10,ぢ,,y,228

実験時刻2022/05/22 12:51:37, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,あ,,y,274
2,ぇ,,y,290
3,こ,,y,261
4,す,,y,312
5,ち,,y,258
6,ぃ,,y,245
7,き,,y,274
8,で,,y,364
9,と,,y,355
10,お,,y,277

実験時刻2022/05/22 12:54:22, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,き,,y,264
2,ぃ,,y,216
3,と,,u,299
4,い,,y,244
5,け,,y,270
6,だ,,y,234
7,ぜ,,y,229
8,ず,,y,258
9,え,,y,111
10,ど,,y,236

実験時刻2022/05/22 12:55:01, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ど,,y,265
2,ぎ,,y,263
3,け,,y,250
4,お,,y,259
5,す,,y,233
6,げ,,y,268
7,ざ,,y,194
8,ぅ,,y,255
9,が,,y,251
10,せ,,y,281

実験時刻2022/05/22 12:57:18, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,こ,,y,257
2,ど,,y,236
3,つ,,y,330
4,っ,,y,272
5,せ,,y,263
6,ぇ,,y,304
7,け,,y,278
8,さ,,y,302
9,づ,,y,302
10,ご,,y,268

実験時刻2022/05/22 12:58:05, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ぉ,,y,354
2,し,,y,262
3,ぇ,,y,302
4,ご,,y,283
5,づ,,y,308
6,え,,y,270
7,と,,y,238
8,が,,y,260
9,て,,y,191
10,い,,y,251

実験時刻2022/05/22 12:58:48, モード1
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,け,,y,257
2,ぢ,,y,259
3,ぞ,,y,255
4,ぉ,,y,286
5,き,,y,250
6,ぜ,,y,263
7,ぢ,,y,243
8,ざ,,y,239
9,ず,,y,261
10,と,,y,282

