実験時刻2022/05/21 01:32:44, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,キ,ご,u,840
2,せ,ゾ,u,548
3,ぜ,け,u,545
4,け,ォ,u,592
5,う,こ,u,461
6,う,ス,u,826
7,ジ,ォ,u,520
8,ズ,ザ,u,469
9,げ,ゴ,u,486
10,ず,ゴ,u,477

実験時刻2022/05/21 01:35:56, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,く,ォ,u,631
2,う,ィ,u,1497
3,う,ケ,u,539
4,き,ぅ,u,425
5,お,ぐ,u,544
6,ゴ,き,u,529
7,け,カ,u,659
8,グ,ぇ,u,485
9,カ,イ,u,492
10,お,ク,u,337

実験時刻2022/05/21 08:41:27, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ォ,キ,u,440
2,ク,げ,u,610
3,ケ,け,u,716
4,ぐ,キ,u,599
5,お,お,u,523
6,ぐ,グ,y,833
7,ズ,ズ,y,641
8,シ,ィ,u,474
9,く,ゴ,y,376
10,さ,さ,y,596

実験時刻2022/05/21 10:40:14, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ォ,ぉ,u,1112
2,ク,ク,y,614
3,ゲ,ゲ,y,587
4,こ,コ,y,629
5,ザ,エ,u,671
6,キ,ご,u,796
7,ケ,ォ,u,877
8,え,え,y,699
9,き,き,y,532
10,ォ,ザ,u,878

実験時刻2022/05/21 10:42:46, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ケ,ケ,y,605
2,ぐ,ず,y,936
3,グ,グ,y,612
4,ザ,グ,u,969
5,カ,カ,y,547
6,ウ,う,y,596
7,ガ,ジ,u,698
8,ジ,じ,y,815
9,ゴ,す,u,712
10,さ,さ,y,689

実験時刻2022/05/22 12:47:31, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ぐ,げ,u,969
2,ザ,が,u,804
3,さ,あ,u,692
4,グ,グ,y,643
5,ェ,ぇ,y,842
6,え,イ,u,995
7,く,ぇ,u,775
8,コ,こ,y,1015
9,ず,ず,y,719
10,う,す,u,750

実験時刻2022/05/22 01:08:06, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ご,ず,u,725
2,ケ,う,u,1008
3,ザ,ざ,y,688
4,ザ,カ,u,800
5,じ,じ,y,547
6,ズ,が,u,681
7,さ,ク,u,732
8,シ,シ,y,611
9,ず,い,u,596
10,え,エ,y,804

実験時刻2022/05/22 01:08:50, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,じ,き,u,690
2,け,が,u,629
3,ェ,え,y,783
4,ぇ,カ,y,825
5,ズ,ざ,u,835
6,あ,き,u,619
7,じ,う,u,576
8,ぐ,ぐ,y,614
9,じ,ジ,y,958
10,じ,ジ,y,578

実験時刻2022/05/22 01:09:37, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,け,ケ,y,759
2,ぅ,ゥ,y,526
3,ス,ス,y,613
4,い,す,u,696
5,ぃ,ィ,y,728
6,ス,ス,y,506
7,こ,コ,y,912
8,ギ,ギ,y,551
9,サ,サ,y,580
10,け,ゥ,u,918

実験時刻2022/05/22 01:10:20, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,カ,き,u,931
2,ぅ,グ,u,752
3,げ,す,u,568
4,ぅ,ぅ,y,581
5,ぉ,ぉ,y,623
6,ゴ,ゴ,y,467
7,ザ,ス,u,617
8,ズ,ジ,u,1003
9,ご,が,u,636
10,ガ,ザ,u,629

実験時刻2022/05/22 01:11:06, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ぅ,う,y,575
2,ザ,ざ,y,1004
3,ェ,ぇ,y,718
4,ざ,し,u,728
5,さ,げ,u,792
6,ア,あ,u,594
7,こ,コ,y,824
8,サ,サ,y,609
9,さ,さ,y,564
10,げ,げ,y,705

実験時刻2022/05/22 01:11:52, モード3
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ぅ,ご,u,649
2,ゴ,ご,y,620
3,く,く,y,676
4,え,あ,u,871
5,か,カ,y,540
6,ウ,ゥ,y,621
7,く,コ,u,825
8,ガ,ガ,y,550
9,ぅ,ぅ,y,571
10,エ,ギ,u,718

