実験時刻2022/05/21 08:42:15, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,お,オ,y,729
2,か,カ,u,896
3,す,す,y,664
4,ご,ざ,u,590
5,ケ,け,y,368
6,ジ,ジ,y,672
7,ぅ,ゥ,y,1269
8,ザ,ズ,u,842
9,ぎ,ェ,u,673
10,ギ,す,u,757

実験時刻2022/05/21 10:39:23, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ガ,ガ,y,551
2,ず,ず,y,533
3,ぅ,ぅ,y,503
4,ゴ,ざ,u,555
5,ィ,ィ,y,445
6,け,じ,u,529
7,ス,ぎ,u,711
8,く,く,y,596
9,ざ,ざ,y,510
10,が,が,y,453

実験時刻2022/05/22 12:59:48, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,う,う,y,526
2,ス,ス,y,475
3,ご,ぉ,u,624
4,ケ,ケ,y,416
5,え,う,y,533
6,が,う,u,616
7,コ,ォ,u,692
8,ぇ,ェ,y,788
9,ぉ,ォ,y,877
10,カ,く,u,961

実験時刻2022/05/22 01:00:34, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ぇ,ェ,y,561
2,ゲ,ゲ,y,867
3,が,ぉ,u,757
4,ぅ,ぇ,u,877
5,う,う,y,661
6,ゥ,げ,u,651
7,え,ぎ,u,699
8,ゴ,ゴ,y,598
9,ず,ズ,y,789
10,く,ォ,u,746

実験時刻2022/05/22 01:01:19, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,カ,ご,u,673
2,ゲ,お,u,640
3,ざ,ざ,y,681
4,ぇ,お,u,635
5,が,ぅ,u,591
6,か,カ,y,642
7,シ,シ,y,680
8,き,き,y,627
9,す,ご,u,743
10,ぐ,カ,u,619

実験時刻2022/05/22 01:02:02, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,キ,キ,y,538
2,グ,ぐ,y,688
3,ぐ,ざ,u,872
4,が,ガ,y,640
5,い,い,y,603
6,ゴ,エ,u,855
7,ご,オ,u,792
8,じ,ジ,y,872
9,ず,ズ,y,707
10,ィ,ア,u,795

実験時刻2022/05/22 01:04:40, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,オ,オ,y,612
2,ぎ,ギ,u,742
3,コ,あ,u,742
4,ゲ,ぐ,u,736
5,ぉ,ス,u,634
6,シ,し,u,951
7,コ,こ,u,884
8,す,ぇ,u,998
9,ザ,ざ,u,660
10,ズ,イ,u,682

実験時刻2022/05/22 01:05:28, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,き,イ,u,535
2,す,ス,u,705
3,ザ,じ,u,639
4,ザ,ざ,u,503
5,ジ,ざ,u,513
6,ギ,ぎ,u,454
7,サ,さ,u,521
8,ス,ウ,u,434
9,ク,え,u,572
10,ィ,ア,u,503

実験時刻2022/05/22 01:06:12, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ェ,き,u,541
2,か,か,y,635
3,ズ,ず,u,543
4,ガ,ガ,y,657
5,ィ,じ,u,574
6,ぎ,ぎ,y,578
7,ざ,く,u,585
8,ウ,ぅ,u,734
9,ぎ,ギ,u,516
10,ガ,あ,u,604

実験時刻2022/05/22 01:06:57, モード2
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,さ,さ,y,941
2,ぐ,ぐ,y,769
3,シ,う,u,591
4,エ,コ,u,673
5,ず,キ,u,687
6,う,オ,u,851
7,ォ,ざ,u,553
8,エ,ご,u,609
9,ザ,え,u,545
10,ア,ア,y,659

